filename,name,email,skills,experience,education,ata_score,ml_score,matched_count,total_keywords,matched_keywords
75_CV_467.docx,Jamie Lee,mgraham@example.net,Leadership,1.0,BS in Computer Science from Nash-Thompson University,0.0%,9.1,0,19,
75_CV_534.docx,Lindsay Vasquez,stacykirk@example.net,,10.0,MSc in Computer Science from Chapman-Stevens University,0.0%,13.8,0,19,
75_CV_471.docx,Herbert Holmes,vickiebraun@example.com,"Leadership, Teamwork",1.0,"BSc in Computer Science from Kennedy, Green and Gordon University",0.0%,7.7,0,19,
75_CV_563.docx,Kevin Erickson,lgordon@example.net,,2.0,BS in Information Technology from Sheppard-Cooper University,0.0%,14.3,0,19,
75_CV_426.docx,Michael Moore,kenneth03@example.org,"Leadership, Teamwork",10.0,"BSc in Computer Science from Morris, Hale and Wade University",0.0%,8.4,0,19,
75_CV_518.docx,Charles Fox,jaredgill@example.com,"Communication, Teamwork",8.0,"MSc in Information Technology from Roberts, Rodgers and Garcia University",0.0%,8.9,0,19,
75_CV_559.docx,Sharon Zamora,smithtina@example.org,,10.0,BS in Software Engineering from Jensen LLC University,0.0%,17.9,0,19,
75_CV_579.docx,Jillian Graham,virginiaclark@example.net,Leadership,4.0,BSc in Software Engineering from Perry PLC University,0.0%,18.3,0,19,
75_CV_596.docx,Matthew Wright,kathy19@example.com,Communication,10.0,BSc in Information Technology from Ward PLC University,0.0%,13.0,0,19,
75_CV_484.docx,Katherine Randolph,karen27@example.com,"Leadership, Communication",10.0,"BS in Information Technology from Villarreal, Contreras and Jones University",0.0%,9.2,0,19,
75_CV_538.docx,Anna Kramer,miguel47@example.net,"Leadership, Teamwork",1.0,"MSc in Information Technology from Gordon, Mcfarland and Berger University",0.0%,12.2,0,19,
75_CV_492.docx,John Hernandez,robert27@example.com,"Leadership, Teamwork",5.0,"MSc in Information Technology from Carr, Nelson and Chen University",0.0%,11.2,0,19,
75_CV_580.docx,Glenda Foster,xbennett@example.net,Communication,6.0,MSc in Computer Science from Cummings and Sons University,0.0%,10.3,0,19,
75_CV_451.docx,Tyrone Smith,gyoung@example.net,Teamwork,2.0,MSc in Software Engineering from Richards and Sons University,0.0%,13.5,0,19,
75_CV_514.docx,Bethany Johnson,kduke@example.net,"Leadership, Communication",5.0,MSc in Information Technology from Collins-Greene University,0.0%,7.7,0,19,
75_CV_406.docx,Rebecca Smith,erin20@example.org,"Communication, Teamwork",7.0,"MSc in Information Technology from Gross, Clark and Kaiser University",0.0%,10.4,0,19,
75_CV_543.docx,Robert Clark,portiz@example.com,"Communication, Teamwork",5.0,BS in Software Engineering from Schneider-Turner University,0.0%,14.3,0,19,
75_CV_410.docx,Christopher Jones,kevin32@example.net,Leadership,5.0,"BSc in Information Technology from Fisher, Beck and Rodriguez University",0.0%,12.9,0,19,
75_CV_586.docx,Erin Owen,lsexton@example.org,Teamwork,7.0,MSc in Software Engineering from Munoz-Jennings University,0.0%,13.3,0,19,
75_CV_590.docx,Claudia Bush,nichole11@example.net,"Leadership, Communication",8.0,"BSc in Computer Science from Williams, James and Mason University",0.0%,8.0,0,19,
75_CV_569.docx,Christopher Rodriguez,dgarcia@example.com,Communication,4.0,"MSc in Computer Science from Mathews, Hodges and Erickson University",0.0%,10.4,0,19,
75_CV_413.docx,Melissa Nash,frank92@example.net,,2.0,MSc in Computer Science from Rodriguez Group University,0.0%,16.1,0,19,
75_CV_595.docx,Stephanie Franklin,mcknightian@example.org,,6.0,"MSc in Computer Science from Costa, Berg and Smith University",0.0%,18.0,0,19,
75_CV_468.docx,Kyle Conley,slucero@example.net,Teamwork,6.0,"BSc in Information Technology from Diaz, Perez and Norris University",0.0%,17.7,0,19,
75_CV_487.docx,Grace Munoz,angela52@example.org,Communication,9.0,MSc in Information Technology from Fuentes Inc University,0.0%,11.5,0,19,
75_CV_491.docx,Cynthia Hall,ehorne@example.net,,6.0,"BSc in Information Technology from Osborn, Alvarado and Miller University",0.0%,14.8,0,19,
75_CV_583.docx,Shannon Acosta,lsuarez@example.net,Teamwork,6.0,"BSc in Information Technology from Smith, Watson and Smith University",0.0%,12.1,0,19,
75_CV_429.docx,Peggy Frazier,mitchelltiffany@example.com,Leadership,1.0,MSc in Computer Science from Sellers Group University,0.0%,13.2,0,19,
75_CV_517.docx,Savannah Simpson,rossronald@example.com,"Communication, Teamwork",7.0,"BS in Information Technology from Johnson, Neal and King University",0.0%,10.1,0,19,
75_CV_452.docx,Amanda Hobbs,darrellchavez@example.org,"Leadership, Teamwork",2.0,"BSc in Information Technology from Cochran, Willis and Smith University",0.0%,8.6,0,19,
75_CV_540.docx,Lawrence Yates,kelsey09@example.net,,3.0,MSc in Computer Science from Brown Ltd University,0.0%,17.3,0,19,
75_CV_405.docx,Grace Gomez,fordshawn@example.com,,10.0,"MSc in Software Engineering from Holmes, Smith and Richardson University",0.0%,16.1,0,19,
75_CV_556.docx,William Johnson,ehernandez@example.org,,5.0,BS in Software Engineering from Hampton Group University,0.0%,15.4,0,19,
75_CV_501.docx,Richard Conway,stephaniekemp@example.com,Leadership,1.0,MSc in Information Technology from Mcmahon Ltd University,0.0%,8.9,0,19,
75_CV_594.docx,Abigail Santana,zrichardson@example.com,"Communication, Teamwork",2.0,"BSc in Computer Science from Nguyen, Franklin and Thompson University",0.0%,9.2,0,19,
75_CV_444.docx,Troy Arellano Jr.,pward@example.com,"Leadership, Communication",2.0,"MSc in Software Engineering from Sanchez, Lutz and Jennings University",0.0%,14.7,0,19,
75_CV_599.docx,Robert Mcclain,savannah47@example.com,"Communication, Teamwork",8.0,"BSc in Information Technology from Holmes, Wells and Weeks University",0.0%,9.6,0,19,
75_CV_433.docx,Andrea Lewis,woodmatthew@example.com,,10.0,MSc in Software Engineering from Sharp-Baker University,0.0%,17.7,0,19,
75_CV_576.docx,Elizabeth Simmons,taylorjohnson@example.net,"Communication, Teamwork",7.0,BS in Information Technology from Mathews Inc University,0.0%,6.9,0,19,
75_CV_464.docx,Kathryn Smith,annesalazar@example.net,Teamwork,6.0,"BSc in Computer Science from Snyder, Roberts and Cooke University",0.0%,12.5,0,19,
75_CV_521.docx,Jonathan Prince,jessicabrady@example.com,,7.0,MSc in Computer Science from Walter-Murphy University,0.0%,17.2,0,19,
75_CV_472.docx,Lauren Ward,scott40@example.net,"Leadership, Teamwork",3.0,BSc in Information Technology from Butler-Parker University,0.0%,9.2,0,19,
75_CV_537.docx,Nicole Bell,reginasmith@example.com,"Communication, Teamwork",9.0,"BSc in Information Technology from Webb, Hudson and Jones University",0.0%,11.0,0,19,
75_CV_425.docx,Caitlin Sparks,yedwards@example.org,Communication,6.0,BS in Software Engineering from Grant Inc University,0.0%,13.7,0,19,
75_CV_560.docx,Madeline Wright,castillojennifer@example.net,Communication,4.0,MSc in Software Engineering from Griffith-Kline University,0.0%,14.1,0,19,
75_CV_409.docx,Heather Taylor,rogersmelanie@example.org,,8.0,BSc in Information Technology from Bennett-Gonzalez University,0.0%,16.8,0,19,
95_unprofessional_cv_2.pdf,Ali Zayn - aka,headshot_king@gmail.com,VPN,0.0,,0.0%,21.6,0,19,
75_CV_486.docx,Scott Preston,staceysmith@example.com,Teamwork,7.0,BS in Computer Science from Ford-Escobar University,0.0%,11.8,0,19,
75_CV_506.docx,David Lamb,taylorrodgers@example.org,"Leadership, Communication",8.0,BS in Software Engineering from Hernandez-Heath University,0.0%,13.0,0,19,
75_CV_577.docx,Cindy Cortez,ocole@example.org,"Jenkins, Communication",5.0,BS in Software Engineering from Martinez-Jenkins University,0.0%,12.8,0,19,
75_CV_408.docx,Andrew Hernandez,cameronlang@example.org,"Leadership, Communication",4.0,BSc in Software Engineering from Gutierrez-Key University,0.0%,11.8,0,19,
75_CV_424.docx,Elizabeth Jensen,moraleschristopher@example.com,"Leadership, Teamwork",8.0,BSc in Information Technology from Olson Ltd University,0.0%,11.3,0,19,
75_CV_561.docx,Jill Figueroa,sydneysnyder@example.com,,1.0,"BS in Information Technology from Roman, Ward and Brown University",0.0%,15.5,0,19,
75_CV_473.docx,Joshua Ruiz,saramartin@example.org,,7.0,MSc in Computer Science from Ward-Hill University,0.0%,17.2,0,19,
75_CV_536.docx,Christopher Hernandez,dixonandrew@example.org,Communication,9.0,"MSc in Software Engineering from Wright, Carter and Velazquez University",0.0%,13.1,0,19,
75_CV_465.docx,Barry Romero,ihoward@example.com,"Communication, Teamwork",3.0,MSc in Software Engineering from Perry-Scott University,0.0%,13.9,0,19,
75_CV_520.docx,Kimberly Campbell,erinbray@example.com,"Leadership, Teamwork",3.0,BS in Computer Science from Stout Ltd University,0.0%,7.6,0,19,
75_CV_598.docx,Katherine White,sanchezdouglas@example.com,"Communication, Teamwork",4.0,BS in Software Engineering from Swanson PLC University,0.0%,11.8,0,19,
75_CV_432.docx,Peggy James,stephen66@example.com,Teamwork,2.0,BS in Software Engineering from Lee Ltd University,0.0%,9.8,0,19,
75_CV_500.docx,Dawn Duran,carneygreg@example.org,"Leadership, Communication",1.0,BS in Software Engineering from Bush PLC University,0.0%,9.9,0,19,
75_CV_469.docx,David Kelly,jamesdelgado@example.com,"Leadership, Communication",8.0,BSc in Software Engineering from Thompson PLC University,0.0%,13.0,0,19,
75_CV_445.docx,James Anderson,caroline82@example.org,"Leadership, Communication",6.0,BSc in Software Engineering from Medina Ltd University,0.0%,8.4,0,19,
75_CV_557.docx,Micheal Alvarez,wwest@example.net,Communication,7.0,BS in Software Engineering from Simmons-Miller University,0.0%,13.1,0,19,
75_CV_412.docx,Brian Harmon,evanhall@example.net,,2.0,"BSc in Computer Science from Taylor, Bailey and Brown University",0.0%,16.0,0,19,
75_CV_541.docx,Brian Smith,dunnjamie@example.net,,8.0,MSc in Software Engineering from Smith-Peters University,0.0%,21.6,0,19,
75_CV_404.docx,Michael Kemp,james15@example.org,"Leadership, Communication",10.0,MSc in Information Technology from Taylor-Shaffer University,0.0%,10.8,0,19,
75_CV_516.docx,Jennifer Wilkerson,mendozapatricia@example.net,,3.0,"MSc in Software Engineering from Johnston, Lambert and King University",0.0%,17.9,0,19,
75_CV_453.docx,Michael Walker,jonesdaniel@example.com,,2.0,"BSc in Information Technology from Miller, Thompson and Butler University",0.0%,14.5,0,19,
75_CV_582.docx,Natalie Thompson,shafferedgar@example.com,"Leadership, Communication",6.0,"MSc in Software Engineering from Francis, Hughes and Palmer University",0.0%,12.1,0,19,
75_CV_428.docx,Rebecca Lang,ymccarty@example.org,Communication,10.0,"BS in Information Technology from Mejia, Lopez and Reed University",0.0%,11.1,0,19,
75_CV_490.docx,Robert Holloway,mary64@example.net,"Communication, Teamwork",8.0,MSc in Software Engineering from Barnett-Church University,0.0%,12.7,0,19,
75_CV_448.docx,Mitchell Brown,stewartbrianna@example.com,"Communication, Teamwork",2.0,"MSc in Software Engineering from Smith, Taylor and Waters University",0.0%,12.4,0,19,
75_CV_443.docx,Amy Mills,megan80@example.com,Leadership,3.0,"MSc in Information Technology from Smith, Nichols and Smith University",0.0%,16.2,0,19,
75_CV_585.docx,Patrick Jackson,mitchellhenry@example.net,,6.0,"BSc in Information Technology from Hoffman, Keller and Rodriguez University",0.0%,15.7,0,19,
75_CV_423.docx,Richard Best,downsjustin@example.org,,10.0,"BS in Software Engineering from Wilson, Nguyen and Anderson University",0.0%,15.4,0,19,
75_CV_589.docx,Katie Nelson,dominguezpatricia@example.net,Communication,2.0,"BSc in Computer Science from Conrad, Rivera and Mclaughlin University",0.0%,13.8,0,19,
75_CV_566.docx,Jennifer Green,ycastillo@example.net,"Communication, Teamwork",7.0,MSc in Computer Science from Schneider-Jones University,0.0%,8.1,0,19,
75_CV_458.docx,Jessica Long,jessica62@example.com,"Communication, Teamwork",4.0,BSc in Software Engineering from Simon-Alexander University,0.0%,11.2,0,19,
75_CV_419.docx,Lisa Brown,ebaldwin@example.com,Teamwork,8.0,"MSc in Software Engineering from Mckay, Miller and Nelson University",0.0%,13.0,0,19,
75_CV_439.docx,Vicki Gonzalez,yjones@example.net,Communication,5.0,"BS in Information Technology from Hudson, Graham and Pierce University",0.0%,15.2,0,19,
75_CV_593.docx,Alexis Roberts,michelle93@example.net,"Communication, Teamwork",2.0,BSc in Computer Science from Ferrell Inc University,0.0%,7.0,0,19,
75_CV_481.docx,Amy Quinn,austin17@example.org,Communication,8.0,BSc in Information Technology from Dalton Ltd University,0.0%,12.7,0,19,
75_CV_478.docx,Kristina Hudson,robert26@example.com,Leadership,9.0,BSc in Information Technology from Turner Inc University,0.0%,9.0,0,19,
75_CV_497.docx,Stephanie Bowers,mccartyraymond@example.com,,4.0,"MSc in Software Engineering from Taylor, Robinson and Young University",0.0%,18.2,0,19,
75_CV_511.docx,Stephanie House,dale93@example.net,,2.0,BSc in Software Engineering from Estrada-Matthews University,0.0%,19.5,0,19,
75_CV_474.docx,Valerie Myers,hamiltondavid@example.org,"Leadership, Communication",6.0,BSc in Information Technology from Calhoun-Vega University,0.0%,7.5,0,19,
75_CV_454.docx,Priscilla Barron,davisashley@example.net,,9.0,BS in Computer Science from Ross-Johnson University,0.0%,15.2,0,19,
75_CV_546.docx,Rachel Johnson,harrislance@example.org,,7.0,MSc in Software Engineering from Brown Group University,0.0%,19.3,0,19,
75_CV_403.docx,Steven Baker,shellysantana@example.com,Teamwork,8.0,BSc in Software Engineering from Hernandez-Payne University,0.0%,15.8,0,19,
75_CV_550.docx,Deborah Perez,michelle02@example.net,Teamwork,1.0,MSc in Software Engineering from Carrillo and Sons University,0.0%,15.4,0,19,
75_CV_415.docx,James Nelson,david51@example.com,,5.0,MSc in Information Technology from Sims-Wade University,0.0%,13.8,0,19,
75_CV_507.docx,Erica Meadows,pthomas@example.org,,8.0,MSc in Software Engineering from Young LLC University,0.0%,19.7,0,19,
75_CV_442.docx,Sean Carter,lsandoval@example.org,"Jenkins, Leadership, Communication",4.0,BSc in Computer Science from Walters-Jenkins University,0.0%,11.5,0,19,
